date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
12-03-2015,0,883,4766020,0.684608,62621,16483.51682,66.45216509
13-03-2015,0,707,4533130,0.644822,56953,15726.40132,51.77061903
14-03-2015,0,807,4240350,0.676167,83441,16672.6889,62.27955178
15-03-2015,0,671,4525900,0.69425,70322,15621.30628,53.10117899
16-03-2015,0,717,4675430,0.805943,110309,15922.71315,49.04744253
17-03-2015,0,1043,5438720,0.752221,61111,16249.25606,91.7378565
18-03-2015,0,792,5086120,0.638029,51858,15759.75203,59.9510232
19-03-2015,0,725,4381670,0.677382,52047,15948.41991,46.62968356
20-03-2015,0,824,4529630,0.633158,28023,16124.72569,49.48016281
21-03-2015,0,696,4374530,0.743222,61605,15937.60627,43.70833085
22-03-2015,0,784,5069650,0.777347,108985,15826.37021,50.87920196
23-03-2015,0,948,5300020,0.766353,45634,15497.55205,68.37840776
24-03-2015,0,1048,5255200,0.711852,52144,15696.38309,66.92980384
25-03-2015,0,774,4851810,0.767497,98536,15688.12079,43.9489628
26-03-2015,0,820,5285540,0.746328,44427,16045.58405,50.91278122
27-03-2015,0,797,5136280,0.777714,42036,15706.11647,60.26955789
28-03-2015,0,787,5389510,0.795417,74210,15634.70407,45.77209959
29-03-2015,0,834,5590830,0.712153,58609,15765.26206,50.64097574
30-03-2015,0,830,4993790,0.853188,108069,16110.32188,60.53153532
31-03-2015,0,860,6061480,0.907059,216122,15773.47911,50.71773617
01-04-2015,0,1169,6333310,1.01,119203,15946.27566,101.0001762
02-04-2015,0,986,7040630,0.96926,88831,15505.98687,72.06024056
03-04-2015,0,750,6853850,0.952245,139293,15636.7857,43.9380068
04-04-2015,0,804,6606150,0.85929,128977,15776.14394,49.05450229
05-04-2015,0,819,6037240,0.883731,143439,15546.47221,49.12935852
06-04-2015,0,855,6193760,0.789463,38051,15500.92758,52.67226733
07-04-2015,0,782,5576860,0.833302,95347,15322.50389,38.71584149
08-04-2015,0,697,5803160,0.755192,33421,15498.9444,40.0398998
09-04-2015,0,753,5365370,0.758207,24374,15603.11034,44.46066203
10-04-2015,0,745,5406330,0.800381,67091,15107.39608,47.47739477
11-04-2015,0,779,5739570,0.827207,45289,15651.80195,43.21687129
12-04-2015,0,685,5911570,0.800135,22665,15500.94208,38.79224956
